Unnamed: 0,City,Price,Title,bedroom,ft
1184,nashua,1600,luxury living in the heart of downtown at historic lofts 34 #ll-25,1,941
1185,somersworth,1100,nice two bedrooms second floor town house styl,2,
1186,concord,615,affordable downtown studio,200ft2,
1187,nashua,2825,everything you need. all right here at lofts 34  #225,3,1870
1188,theresidencesatsundial,1575,is it your dream to live in luxury look no further☚,1,712
1189,lebanon,2125,quaint living at prospect hills,2,1020
1190,manchester,1620,great community  the lofts at mill #1  intown manchester,2,1008
1191,lebanon,2125,prospect hills in lebanon has a beautiful 3 br unit,3,1706
1192,nashua,1625,get 1 month free at lofts 34 on this spacious 1 br #307,1,934
1193,manchester,1145,1 bedroom  no carpet  laundry on site  southside manor ,1,
1194,manchester,1145,search no more  southside manor  rural near shopping ,1,
1195,manchester,1145,- don't wait call today - southside manor - december 15th -,1,600
1196,"1400frontst.,manchester",1425,"spacious one bedroom unit regency place, 55+ community",1,750
1197,59oldhacketthillrdmanchesternh,1810,"regency heights, exclusive 55+ living",2,1140
1198,3countryclubdrmanchesternh,1875,"gorgeous river view  river's edge, 55+ community",2,1470
1199,"1850frontstmanchesternh,unit34",1850,"fall special  regency west, 55+ community",2,1140
1200,dover,1349,we 💗 pets  😺 and 🐶 are welcome limited availability,1,
1201,rochester,775,cozy 1 bedroom apartment,1,
1202,"108wmainstreet,merrimac,ma",1875,"new luxury 55+ community- coming soon to merrimac, ma",2,1069
1203,altanticheights,1550,portsmouth 2 bedroom,2,800
1204,pelham,2000,2-3 bedroom lakefront home,,
1205,laconia,1255,stay hot at apple ridge with central heat,2,984
1206,32doverstreet,1600,portsmouth 3 bedroom,3,
1207,durham,2600,luxury waterfront condo close to unh and portsmouth,2,1080
1208,rollinsford,1045,great town -- quiet location -- new hope housing,2,800
1209,durham,2500,luxury waterfront condo,2,1100
1210,nashua,2100,live like you want. that's our anthem. unit 326,3,1346
1211,nashua,2950,"head-turning style, extraordinary location.",3,1869
1212,manchester,1145,remarkable value. unbeatable location. beautiful (1-46),1,600
1213,manchester,1145,a higher quality of living welcome to southside manor (4-35),1,600
1214,newipswich,1750,for rent: farm in new ipswich,3,900
1215,manchester,1620,be thankful to walk to intown manchester from your mill #1 loft,2,1008
1216,salemnh,1190,v.nice well-situated studio apartment see photos,,
1217,15highstexeternh,1200,downtown exeter,1,800
1218,laconia,994,call today to income qualify for our waitlist,2,973
1219,hampton,1550,2 bedroom in family neighborhood,2,
1220,eastrochester,1200,amazing 3 bedroom apartment,3,1300
1221,greenville,900,updated and clean 2br apartment,2,
1222,16highstreetgilsum,1950,4 br / 3 ba accessible home in gilsum village includes all utilities,4,
1223,berlinnh,595,2br - heat and hw incl,2,
1224,keene,1347,"3-4 bedroom - first floor, off court street",4,
1225,penacook,1255,newly renovated first floor available in january at penacook place,2,828
1226,penacook,1255,penacook place apartments is pet friendly heat  hot water included,2,828
1227,86unionstreet,1559,sunny 3 floor townhouse w/garage,2,1200
1228,laconia,925,2 bedroom - easy access to downtown - available immediately,,
1229,newhampshire,1650,900ft2 - luxury apartment for rent,,
1230,57sentinelct.,2099,"newer 5 br house: 2 car garage, great yard take $750 off",5,1774
1231,laconia,775,1 bedroom  office,1,
1232,dover,1400,3 bedroom 1.5 bath spacious multi floor unit,3,
1233,28e.ridgedr.,2199,live in a new upscale xl townhouse rare 3-level 3 bedroom,3,1885
1234,manchester,1400,"manchester 1st floor , 2+ bedroom , apartment",2,1500
1235,"3861oldbrownave.,manchester",1079,🌴 free heat will keep you warm all winter non-smoking,1,468
1236,manchester,879,☏ cute  affordable studio apartment - all utilities included,273ft2,
1237,"20sentinelct,manchester",1349,redstone: big dogs ok private washer/dryer newly built $750 off,2,853
1238,"108wmainstreet,merrimac,ma",1625,"reservations now being taken regency village, 55+ community",1,889
1239,"7railroadave,derry",1429,beautiful 2 bedroom at the best location in derry,2,910
1240,"29capronrd.,milfordnh",1249,big dogs are ok in this huge 2 br no security deposit,2,875
1241,laconia,1255,brightopenairylaconiastainlesswasher/dryermodern,2,984
1242,kitteryme,2100,townhouse for rent in kittery foreside,3,1650
1243,"30hanoverstreet,manchester",1289,the winning apartment is here microwave,1,840
1244,manchesternh,1360,"we've found your next apartment, and it's amazing",2,975
1245,dublin,1495,beautiful ranch two bedroom with office,2,1200
1246,lebanon,2125,"sit back, relax. your new home awaits.",3,1706
1247,lebanon,2125,come home for the holidays,3,1706
1248,nan,2175,"life is better here, you'll fit right in. unit 39",3,1706
1249,cst,1000,1 bedroom near hudson bridge,,
1250,57varneystreetmanchesternh,1400,single family-just rehabbed,3,1100
