Unnamed: 0,City,Price,Title,bedroom,ft
0,nashua,1300,huge 2-bedroom apartment,2,1600
1,manchester,995,heat  hot water,1,1200
2,3countryclubdrmanchesternh,1875,rivers edge condos in manchester luxury 55+ community,2,1470
3,tilton,150,studio apartment for rent. $150/wk + util.,,
4,59oldhacketthillrdmanchesternh,1810,"regency heights, exclusive 55+ living",2,1140
5,hamptonbeach,295,"avail now-/1 br gas,  cable net incl.300 pets ok",490ft2,
6,manchester,1665,"beautiful 2bed, 2bath, ideal location w/heathot water, ready now",2,1199
7,hooksett,1495,waterfront apt. w/ deck overlooking merrimack,2,
8,claremont,850,one bed room,1,
9,"bradford,ma",1550,beautiful 2br apartment available on corner lot w off-street parking,2,915
10,"1370frontst.,manchester",1710,"regency place, premier 55+ apartments",2,1200
11,nashua,1950,move moew 🐱 we love your furbabies 🐱  lofts 34 433,2,1233
12,33bowmanparaderdbedford,900,homes at birchside common at bedford.,2,2096
13,jaffrey,900,jaffrey: 2 br house - $900/month+util,2,
14,nan,1495,brigh natural light 2 bed apt,1000ft2,
15,derry,1364,"laundry on site, pet friendly, heat  hot water included, and so much more",1,
16,nashuaq,1795,make your move less ruff bring your furbabies with you,2,
17,nashua,1750,three bedroom apartment,3,1000
18,nashua,2455,did you hear lofts 34 is open and ready for you to move in,3,1619
19,golfviewdrivemanchesternh,1550,greenview townhomes,2,1200
20,nashua,1870,shuffle over to our game room for shuffle boardlofts 34 408,2,1098
21,nashua,1870,give thanks in your new downtown apartment,2,1098
22,nan,560,great use of space is the newly updated,,
23,portsmouth,1600,"2 br w/parking islington st. portsmouth, nh",2,1200
24,manchester,895,1 bedroom w/offstreet parking  w/d hookups,1,
25,manchester,1050,2 bedroom w/heat  hw included,2,728
26,62crescentstreet,1500,for rent 2bedroom/1 bath near downtown plymouth nh,2,1300
27,concord/penacook,1035,heats on us for 1 year....say what  don't miss out,2,820
28,1850frontstmanchesternh,1815,"open house saturday, november 17regency west  1:00 - 3:00",2,1140
29,nashua,1395,beautiful top floor home w/lots of light,2,980
30,"758glenave.,apt.2,berlin",650,"2nd floor, 2 br apartment",2,
31,"305coosst.,apt.1,berlin",735,"1st floor, 2 br apartment",2,
32,"138roderickst.,apt.2,berlin",650,"2nd floor, 2-3 br apartment",2,
33,"136roderickst.,apt.1,berlin",700,"1st floor, 2 br apartment",2,
34,"19potterst.,apt.2,gorham",800,"2nd/3rd floor, 2 br apartment",2,
35,nan,1550,"gourmet kitchens washer and dryer, additional storage available",2,990
36,180woodburystreet,1610,covered parking keep your car snow free at carisbrooke,2,1125
37,manchester,1850,"open house  saturday,  november 17  regency west    1:00- 3:00",2,1140
38,manchester,1635,pet friendly apartment in downtown manchester 2br 1ba (122),2,930
39,manchester,1785,exposed brick  fireplace in this top floor river view apartment(a313),2,1100
40,durham,969,sign a lease today,4,
41,nan,1250,plenty of space in a beautiful home - utilities included,4,4000
42,745rimmonstmanchesternh,1400,apartment for rent,2,1200
43,manchester,1850,gorgeous original features in this luxury renovated 2 bed with a view,2,1035
44,dover,1500,end unit townhouse-style 2 bedroom dover condo,2,1150
45,"108wmainstreetmerrimac,ma",1625,"luxury 55+ active adult community- coming soon to merrimac, ma",1,889
46,"221btaylorcir,pembroke",975,"home for rent, open house sat 11/13, noon-3pm  sun 11/ 18, 10am-noon",2,1340
47,420pleasantstreetportsmouthnh,1550,1 bedroom apartment in portsmouth's south end,1,650
48,manchester,995, heat  hot water included ,1200ft2,
49,manchester,1665,lovely petfriendly 2bed 2bath w/elv availablenow heat+hotwater include,2,1199
50,merrimack,1199,1 bedroom available this month don't pass this opportunity up,1,
51,laocnia,1255,don't settle for less apple ridge is your affordable dream home,2,984
52,manchester,750,spacious 3 bedroom 3 bath home for rent in great location,3,1344
53,concord/penacook,1035,nestle into oak creek and let us pay your heat for 1 year,2,820
54,"146turkeyhillrd.,merrimack",1199,move in before new years all utilities included,1,559
55,newmarketnh,1150,spacious newly renovated 2bed condo newmarket,2,728
56,nashua,1750,three bedroom apartment,3,1000
57,manchester,2090,river view from this intown manchester loft  mill #1,2,1043
58,manchester,1620,urban loft living at manchester's lofts at mill #1,2,1022
59,royalridge,1483,on-site recycling and large multi level fitness center with steam room,2,1000
60,eastwashington,550,in law apartment,675ft2,
61,manchester,1755,convenient intown manchester living at the lofts at mill #1,2,1022
62,nan,1300,"dishwasher, outdoor barbecue area, on-site public transportation",2,870
63,nan,1400,"1 bedroom, 1 bathroom apartment for rent in hooksett",1,649
64,"eastridgedrive,milfordnh",1689, 2 bedroom / 2 bath apartment pet friendly,2,964
65,peterborough,1200,"very clean, remodeled, heat included, parking, w/d",2,
66,"80easternavenue,manchester",1299, spacious apartment with dishwasher highway access,2,833
67,nashua,1450,huge 2 br corner unit on top floor w/elevator,2,1050
68,"90powersstreet,milford",1189, milford trails magic cat  dog friendly,1,650
69,meredithneckrdmeredith,1500,beautiful one bedroom apartment - meredith,1,1200
70,"93weststreet,milford",1099, what a deal free heat  hot water - cat friendly,2,716
71,"12blockave.,claremont",950,claremont village condos,2,1000
72,"30hanoverstreet,manchesternh",1289, why look any further we have a 1br for you skylight,1,840
73,29capronroadmilfordnh,1169, cool autumn deal no security deposit required,1,600
74,"64merrimackstreet,manchester",849, nice apartment in professionally managed building,273ft2,
75,warner,900,nice attractive - very well maintained,1,
76,royalridge,1533,maple cabinets / updated appliances / washers and dryers,2,1000
77,"86unionstreet,manchesternh",1559," red oak has the gold standard for rentals, priced right",2,1200
78,gilford,1500,house for rent,2,1500
79,exeter,2710,one jady hill at exeter mill 2bd/2ba with office,2,1478
80,portsmouth,2445,get one month free- lease today,2,983
81,dearbornstreet,1195,renovated large two bed. apartment in nice neighborhood-east side,2,1058
82,merrimack,1375,"smoke/pet free 1st flr renovated 2 bed, w/ free wifi, storage, parking",2,880
83,laconia,1500,house in laconia with brand new carpets  walk out basement,3,1456
84,"26bathst,manchesternh",1259, no security deposit  bonus renovated apartment,3,790
85,"4martinst,derrynh",1269, free heat  hot water,2,850
86,farmlaneseabrook,1800,seabrook remoded year round home,3,1500
87,180woodburystreet,1610,need a rest call the best come to carisbrooke today,2,1125
88,ossipee,975,"$975 / 1br - 750ft2 - large 1 bdrm unit,private with all utilities (os",1,750
89,concord/penacook,1035,stay warm  toasty while we pay your heatno security,2,820
90,concord/penacook,1035,score a touchdown  oak creek  no security  free heat for 1 year,2,850
91,exeter,1400,"1 br w/deck, 3 season porch, basement, w/d, dishwasher",1,700
92,littletonnh,750,can be fixed up 3 bedroom trailer,3,930
93,newportnhbyclaremont,1095,2.8 acres of land house,3,1538
94,manchester,975,362 central street #1 lovely 3 bedroom apartment,3,
95,27firststreetapte,1300,2 br apartment in downtown dover,2,900
96,nan,1806,"2 bedroom - plank flooring, granite countertops, carports available",2,949
97,portsmouth,,"avail feb 1 - large sunny furnished, walk to town, w/d, lovely yard",1,
98,derry,1702,no more lugging that laundry around w/d in this 2br 2 full bathroom,2,
99,nashua,1625,"head-turning style, extraordinary location. 323",1,892
100,nashua,1650,warm up with our hot lofts 34 rent special (unit ll04),2,1099
101,nashua,1600,lofts 34 luxury living all around (unit 127),1,803
102,nan,1600,3 bedroom colonial in laconia,3,
103,doverrdchichesternh,1150,chichester 1 - bedroom apartment - brand new remodel ,1,950
104,manchester,1495,spacious renovated north end 3 bedroom (pets negotiable),3,1400
105,manchester,1595,large private 1st floor 3 bed for only $1595 heat  hw included,3,1500
106,manchester,1665,"2bed, 2bath, heat, hotwater, elevator, offstreet parking, dog friendly",2,1199
107,manchester,670,fully furnished apartments for month to month stays.,1,
108,exeter,300,executive studio/$300 weekly,1,400
109,lebanon,2125,great looking townhouse prospect hills,3,1706
110,laconia,1845,charm up your life at prospect hills.,2,1020
111,riddlest.manchesternh,1250,duplex rental,3,1200
112,manchester,1145,close to shopping and coffee  renovated  rural area to walk ,1,
113,manchester,1145,no carpets  fall move  renovated  rural area ,1,600
114,"15sentinelct.,manchesternh",2199,☖ newer 5 br house available in redstone community $750 off,5,1774
115,portsmouth,1800,portsmouth - 2 bedroom condo in springbrook w/ many amenities,2,1071
116,nan,2410,"sleek and contemporary appliances, clubhouse, spacious closets",2,919
117,64merrimackst.,879,affordable studio for rent➨ cute and cozy with free ht/hw/electric,262ft2,
118,spofford,1400,house on spofford lake,3,
119,seacoast,,free mobile home 2b/2b,2,
120,southnashua,1109,affordable nashua two bedroom available in january,2,750
121,fremont,1600,2 bedroom townhouse with 1 car garage and deck,2,1200
122,goffstown,1650,duplex semi-detached - goffstown nh,2,2032
123,salem,2195,gorgeous waterfront view salem lakefront 2-bedroom house,2,1198
124,"15sentinelct,manchesternh",2199,single family house for rent large dog friendly,5,1774
125,manchester,1145,walk your pet  picnic under the pines  renovated  rural area ,1,
126,"20sentinelct,manchester",1349,🐾 $750 off private w/d and central a/c 2 full baths dogs ok,2,853
127,"10sentinelct,manchesternh",1349,you will have alot to be thankful for w/ $750 off 1st month rent,2,853
128,bradford,1399,✥ one bedroom  2nd floor ✥ hhw included ✥,1,670
129,"dracut,ma",1300,fully renovated 2 bed condo,2,700
130,119easternave.manchester,1299,☛  sunset's largest dog friendly 2 br apts,2,833
131,milford,1689,beautiful two bedroom in new community  no security deposit,2,964
132,30hanoverst.,1069,studio apt finally available at historic opera block,560ft2,
133,"30hanoverst.,manchester",1289,☕ huge luxury 1 br available for rent downtown one-of-a-kind,1,840
134,boscawen,999,2 br in peaceful small apartment community near concord,2,700
135,177easternavemanchesternh,1099,on the hunt for a one bedroom apartment look no more,1,633
136,610unionst.,1059,"large, sunny and unique 1 br w/ built-in hutch and dining room",1,752
137,durham,969,sign your lease today,4,
138,laconia,994,income qualify today for our waitlist,2,973
139,manchester,800,"available dec. 1-nice,spacious 3 bed w/heat/hw",3,790
140,dover,1489,all renovated two bedroom apartment- close to downtown dover,2,750
141,5folsomrdctrossipee,825,quiet 1 bedroom  ctr ossipee nh,1,700
142,dover,1349,exclusive one bedroom available call today to schedule your tour,1,
143,laconia,1175,beautiful 3 bedroom apartment in laconia,3,
144,laconia,1450,inlaw apartment,1,450
145,manchester,1575,spacious one bedroom with lots of amenities in great location,1,712
146,pembroke,1400,4br apartment,4,1800
147,salem,2170,luxury two bedroom apartment homes,2,1000
148,offexit8fromroute93....edwardj.roydrive,1500,"3br/2ba townhouse w/gas heat, w/d included, non smokers, no dogs",3,1320
149,39oldhacketthillrd,1185,spacious 1 bedroom manchester,1,640
150,2lafayettesq,1250,beautiful 1 bedroom apartment,1,700
151,meredith,550,spindle point community of mereditheverything,2,550
152,temple,1795,brand new luxurious apartment 5 minutes from peterborough,3,2400
153,manchester,1145,love where you live at southside manor,1,600
154,meredith,500,december 1st and located just minutes to downtown meredith,1,1264
155,260mastroaddurham,795,large bedroom in a 3 bedroom apartment available,1,
156,nan,2194,"2 bedroom- pet friendly with some restrictions, walk- in closets",2,1097
157,"95powersst.,milford",1249,spacious 2 bedroom with big bedrooms oversized balcony,2,875
158,180woodburystreet,1610,24 hour emergency maintenance call carisbrooke today,2,1125
159,lebanon,2125,life just got better at prospect hill (39),3,1706
160,laconia,1255,looking for an apt in laconia that accepts pets,2,984
161,lebanon,2125,how home should feel - prospect hill,3,1706
162,lebanon,2125,"location, community, quality living. it starts here",3,1706
163,bennington,950,large apartment,2,
164,147mainst.,975,"keene, main st. 2 bdrm apt with parking",2,750
165,189indianrockrd.,2000,merrimack 3 bedroom townhouse,3,
166,milfordnh,1099,school's in session 2bed near milford hs make the move today,2,716
167,manchester,849,ready now... free utilities--studio- no security deposit to pay,300ft2,
168,portsmouth,1750,portsmouth - sunny 2 bedroom condo walking distance to downtown,2,800
169,peterborough,875,peterborough 2 floor one bedroom,,
170,milford,1689,shiny new 2 bedroom available soon grab it before it goes,2,
171,"downtown,westend",2200,portsmouth home rental,2,1000
172,62vernonstmanchesternh,950,modern apartment ready  waiting,2,
173,147mainst.,800,"keene, main st. efficiency apt with parking",1,380
174,147mainst.,850,"keene, main st. 1 bedroom apt w/parking",1,401
175,"20sentinelct,manchester",1329,take $750 off your rent  great move in special  save big,2,861
176,newhampshire,1250,$1250 / 3br - 3 bedroom upgrade,,
177,milford,1099,lg  apt w/free heat  hot water no sec deposit,2,716
178,nashua,1600,"3 bedroom, dog and pet friendly",3,1050
179,salem-you'lllovelivinghere!,1795,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
180,hooksett,1589,"lg condo for rent- in dec- central air, gourmet kitchen, 3 balconies ",2,1135
181,"27eastridgedr,milford",2199,"non-smoking--3 br townhouse- milford, nh: brand new",3,1885
182,"86unionst,manchester",1559,"townhouse condo for rent  1.5 baths, 2 bedrooms 2 car garage",2,1200
183,keene/swanzey,1305,"private keene neighborhoodincludes heat,hot water,  covered parking",2,
184,milford,1449,-- brand new 1 br apt   no security deposit  elevator in building,1,658
185,manchester,1635,remarkable value. unbeatable location. mill west,2,1100
186,boscawen,999,tour today- a 2 br with free hot water  call today,2,774
187,manchester,1299,look:  pet friendly 2 br at sunset ridge  upgraded kitchen,2,733
188,manchester,1069,free--- downtown parking--- 2 room studio  ✫  at the opera block,560ft2,
189,milford,1249,large 2 br-  apt ----- no sec deposit,2,875
190,177easternavemanchester,1259,enjoy the privacy of this corner 2 bedroom apartment,2,733
191,thornton,1325,large 3 bedroom apartment,3,
192,concord/penacook,1035,don't fret about heating costs..we've got you covered...,2,820
193,manchester,1810,apartments tailored to your highest standards.,2,1020
194,180woodburystreet,1700,pets welcomed  stop by carisbrooke today,2,1125
195,farmington,900,quality 2 bedrm townhouse apartment,2,
196,salem-you'lllovelivinghere!,1785,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
197,newhampshire,750,$750 / 2br - 2 bedroom/1 bath,,
198,salem-you'lllovelivinghere!,1795,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
199,manchester,1810,time to call mill west you new home. special price,2,1029
200,manchesternh,1360,gracious  square foot apartment in manchester,2,975
201,manchester,1810,lease today before special melts away.,3,1020
202,seabrook,2695,3 bedroom single family home w/garage,,
203,portsmouth,2500,downtown portsmouth with a 2 parking spots,1,1134
204,manchester,1350,available now-heat and water included,2,
205,nashua,2350,available 12/1/18 24 hour notice required for all showings,3,2070
206,derry,1227,snag this lowest rate today call us for details,2,
207,manchester,1700,"4-bedroom unit, wifi included",4,1860
208,nashuanh,1500,3br 1bath for rent,3,900
209,26highlandashlandnh,875,rental,1,700
210,durham,969,four bedroom apartment available,4,1554
211,nan,850,1 bed 1 bath apartment,1,
212,portsmouthnh,2400,"large 3 bedroom, multi level duplex - .5 miles from downtown",3,2000
213,milford,1400,condo for rent in desirable quarrywood green,2,850
214,canterbury,2400,"canterbury:  6 beds, 4 bath",6,
215,"30hanoverstreet,manchester",1289,everyone is a v.i.p. at red oak no sec. deposit required,1,840
216,franklin,225,franklin:  weekly efficiency rental,,
217,franklin,750,franklin:  modern 1 bedroom,1,
218,"10sentinelct,manchesternh",1329,top floor 2 br for rent - $750 off 1st month rent large dog friendly,2,861
219,milford,1249,2 bedroom for rent call today going fast,2,875
220,"15sentinelct,manchesternh",2199,spread out this house has it all garage basement  more,5,1774
221,"93weststreet,milford",1099,charming apartment - big value central vac for easy clean-up,2,716
222,"10sentinelct,manchesternh",1329,handicap accessible - 1st floor apt - save $750 on december's rent,2,861
223,nashua,1737,you deserve the best live at tara heights,2,1070
224,"4martinstreet,derry",1269,don't leave your cat free heat  hot water,2,850
225,"26bathstreet,manchester",1259,is high rent making you sick feel better with this renovated apt,3,790
226,"86unionstreet,manchester",1559,"everyday  everyone, never pay a security deposit",2,1200
227,"eastridgedrive,milford",2199,super deal at the ridge at eastern trails townhomes,3,1885
228,"90powersstreet,milford",1249,perfect timing move in soon pet friendly,2,875
229,150rte1bypass#201,2900,"2 bedroom, 2 bath new construction by hospital and downtown portsmouth",2,
230,portsmouth,2500,one month free leasing special,2,1036
231,"64merrimackstreet,manchester",849,have no fear red oak is here free utilities,273ft2,
232,arlingtonstreet,1450,large clean 2 bedroom,2,1066
233,nan,1649,"1 bedroom - nine-foot ceilings  walk-in closets, plank flooring",1,739
234,"20sentinelcourt,manchester",1349,2 bedroom apartment home - move in now rental special,2,853
235,salem-handytoi-93,2170,brand new luxury community great location pool - gym - pet friendly,2,
236,"20sentinelcourt,manchester",1329,your search ends here non-smoking apartment,2,861
237,nan,1795,two story 3 br house great area w/d hkp storage space basement attic,,
238,"80easternavenue,manchester",1299,welcome home to sunset ridge - we love cats  small dogs,2,833
239,manchester,1290,close to both highway and down town,2,1000
240,"80easternavenue,manchester",1299,welcome home to sunset ridge - we love cats  small dogs,2,833
241,manchester,1290,close to both highway and down town,2,1000
242,keene,975,large 3 bedroom,3,
243,395mainstreet,975,"2 bdrm subsidized / $975 cherryfield village apts, somersworth, nh",2,
244,395mainstreet,925,"1 bdrm subsidized / $925 cherryfield village apts, somersworth, nh",1,
245,20route236,943,"2 bdrm subsidized / $943 applegate village apts, berwick, me",2,
246,20route236,808,"1 bdrm subsidized / $808 applegate village apts, berwick, me",1,
247,villageaptsroad,897,"2 bdrm subsidized / $897 belmont village apts, belmont, nh",2,
248,derry,1425,spacious and sunny 2 bedroom apt. with lots of closets,2,
249,villageaptsroad,787,"1 bdrm subsidized / $787 belmont village apts, belmont, nh",1,
250,"93weststreet,milford",1099, moving this fall we can help central vac,2,716
251,nashua,1505,apartment features you will love,2,980
252,nan,1200,updated 2 bedroom 2 bathroom dover apartment,2,
253,derry,1211,this one will go fast...2 bed  section 8 welcome,2,
254,manchester,995,heat  hot water,1,1200
255,milford,1039,accepting applications always  1 bedrooms,1,
256,milford,1039,apply today 1 bedrooms available,1,
257,belmontstreet,1700,spacious antique two-story apartment,2,1275
258,"7railroadavenue,derry",1429, spacious apartment washer  dryer highway access,2,910
259,"10sentinelct,manchesternh",1349,1st floor apartment  $750 off 1st month rent tour today,2,853
260,manchesterwest,1100,large two bedroom,2,
261,hamptonbeach,1200,new units / rooms year around-available nov 9 2018,,
262,"82thirdstreet,manchester",1429," we are proud to present our beautiful, modern apartments",3,1355
263,hamptonbeachnh,250,studio apt room for rent,,
264,292mainst,1400,apartment for rent -west side-manchester,3,
265,manchester,1550,renovated 2 bedroom house rental,2,
266,241pinestdowntownmanchestersnhucenter,750,studio w private bath  kitchenette,,
267,goffstown,3000,house for rent,2800ft2,
268,manchester,800,1 bdrm apt,1,
269,effingham,1200,"3 bedroom, 5 acres, private, peaceful, month to month.",1750ft2,
270,boscawen-nearconcord,999,big and bright- a 2 br with free hot water  call today,2,700
271,03301,1300,"spacious south end 2 br apartment in concord, nh",2,
272,"20sentinelct,manchester",1349,boom--- $750 off your 1st month-----2 br/2ba,2,853
273,1850frontstmanchesternh,1850,open house saturday 11/17 1-3 pm at regency west in manchester,2,1140
274,concord,1300,"attractive 2 br apartment near downtown concord, nh",2,
275,"30bgovernmentstreet,kittery",1100,kittery 1 bed with office/ storage,1,
276,"86unionstreet,manchester",1559, nice townhome in professionally managed building dishwasher,2,1200
277,milford,1689,now touring   brand new--extra sound proofing-- 2 bedroom apts,2,964
278,"nearnashua:27eastridgedr,milford",2199,"wow--wow--wow-----all new- 3 br townhouse- milford, nh",3,1885
279,manchester,1635,a cornucopia of amenities await you - #104,2,930
280,milfordnh,1189,one bedroom in quiet milford nh available now,1,600
281,"29capronroad,milford",1169, apartments for rent life just got better,1,600
282,manchester,879,move in ready... free utilities--studio- no security deposit to pay,300ft2,
283,"99mammothroad,hooksett",1589, have no fear: red oak is here microwave  dishwasher,2,1135
284,merrimack,1475,"$500 off 1st mo hwd flrs 2 bed, w/ free wifi, storage, parking, more",2,880
285,"1370frontstreet,manchester",1710,regency place  manchester's premier  community,2,1200
286,downtownexeter,1000,small 1br inc h/hw/elec,1,500
287,merrimack,1425,"$500 off 1st smoke/pet free 1st flr 2 bed,w/free wifi,storage,parking",2,880
288,nan,2194,"2 bedroom - full-size washer and dryer in each home, granite counterto",2,1097
289,nan,1050,"1 bedroom rochester, newly refinished",1,800
290,nan,1470,"laundry facilities, cozy breakfast nooks, hiking and biking trails, gourmet kitc",2,870
291,summerstreet,1050,one bedroom rochester downtown,1,800
292,nan,1806,"2 bedroom - mini blinds, gas-burning fireplaces, well-landscaped grounds",2,949
293,nan,1821,"2 bedroom - granite countertops, carports available, oversized garden tubs",2,933
294,nan,1649,"1 bedroom - valet dry-cleaning service, plank flooring, carports avail",1,739
295,"90powersstreet,milford",1289, milford apartment 2 bedroom + no security deposit,2,875
296,dover,2800,dover - lovely 2+ bedroom single family ranch with large yard,3,1370
297,milford,1449,large and updated 1 bedroom book your tour today,1,
298,milfordnh,1449,pristine quiet 1 bedroom awaits you nonsmoking wow,1,658
299,"eastridgedrive,milford",2199, new 3 bedroom townhome: non-smoking  washer/dryer included,3,1885
300,barnstead,1600,"3 bdr waterfront, fully furnished, off season in locke lake colony",3,
301,manchester,1122,special 2bdrm townhouse w/ all utilities included,2,922
302,manchester,1810,thankful for a great apartment #247,2,1020
303,laconia,1249,income qualify today for our waitlist,3,1203
304,"20sentinelcourt,manchester",1329, rental special take $750 off pets welcome,2,861
305,barnstead,1600,single family home rental,3,
306,"berwick,me",1125,berwick - cozy 1 bedroom apartment in a 4 unit building,1,
307,33doverpointroad,1850,spacious 3 br in dover  move in ready,3,1500
308,dover,1325,dover - sunny 2 bedroom 1.5 bath apartment close to downtown,2,1000
309,56newrochesterroad,2500,water view- pets welcome townhouse for rent. available now,3,
310,56newrochesterroad,2500,water view- pets welcome townhouse for rent. available now,3,
311,derry,1400,2br condex 43 pingree hill derry,2,1173
312,14sheffielddrive,2000,townhouse for rent  sheffield drive -,3,1550
313,192washingtonstreet,1150,h/hw included  walk to downtown dover ,2,850
314,15folsomstreet,1200,available now walk to downtown dover,2,1400
315,39clancydrive,2000,townhouse for rent  available immediately,4,1800
316,39clancydrive,2000,townhouse for rent  available immediately,4,1800
317,8academystreet,1150,private deck h/hw included - walk to downtown dover,1,850
318,salem-handytoi-93,2170,brand new luxury community great location pool - gym - pet friendly,2,
319,salem-handytoi-93,2170,brand new luxury community great location pool - gym - pet friendly,2,
320,"20sentinelct,manchesternh",1379,1st floor two bedroom / two bath with w/d - save $750,2,853
321,33stthomasstreet,1350,off street parking  fenced in back yard dogs welcome,2,1200
322,"15eastridgedr.,milford",1449,this chic 1 bedroom is yours for the taking,1,658
323,66rochesterhillroad,1800,townhouse for rent ,3,1500
324,concord/penacook,1035,get in while the getting is good and the heat is free for 1 year,2,820
325,66rochesterhillroad,1800,townhouse for rent ,3,1500
326,laconia,1249,call today to income qualify for our waitlist,3,1203
327,"80easternavenue,manchester",1299, perfect apartment red oak would love to help you,2,833
328,laconia,994,call today to income qualify for our waitlist,2,973
329,salem-you'lllovelivinghere!,1895,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
330,119easternavemanchester,1299,be home for the holidays first floor 2 bedroom just right for you,2,833
331,"eastridgedrive,milfordnh",1689, milford's new luxury apartments open 7 days for tours,2,964
332,"177easternave,manchesternh",1099,you'll be thankful you picked sunset ridge,1,633
333,manchester,1810,new home for the holidays #207,2,1035
334,nashua,1175,1 bedroom condo for rent,1,725
335,milford,1189,country living check out this 1 bedroom-pet friendly,1,650
336,portsmouth,1700,2 bedroom,2,
337,496brownrd.candia,1750,all utilities included - premium 1st floor rental,1,764
338,nan,1821,"2 bedroom - in select apartment homes, adjustable track lighting",2,933
339,36warren,2400,melrose three bedroom two baths,3,1000
340,manchester,1080,studio move in special $500 off the security deposit,,
341,manchester,1270,"1 bedroom, heat and hot water included, pet friendly",1,
342,berlinnh,800,4 bedroom house with fenced yard,,
343,"kendallpondcommunity,derry",1450,this should be your new address,3,880
344,manchester,1370,"2 bedroom 1 bathroom, pet friendly",2,
345,nashua,1300,single 2 bedroom  house,2,1000
346,laconia,220,310 mechanic street -- 2 bedroom,2,
347,manchester,1200,safe  secure- - - - - - -  great area-  -  -  -  - -  -  -,3,
348,swanzey,1200,country 2bdrm w/heat hw,2,
349,288hanoverct#2manchester,800,renovated studio with utilities included,,
350,concord/penacook,1035,let us pay for your heat for 1 year....oak creek,2,820
351,concord/penacook,1035,oak creekthe way life should bepeek inside for special,2,820
352,nan,1195,"canaan duplex , $100\mo discount if you qualify, mins to leb/hanover",2,
353,manchester,740,open house sat 11/10/18  sunday 11/11/18 9am to 6pm.,3,
354,keene,650,you wont find a move in special like this anywhere else 💯💯,2,1229
355,southdover,2500,beautiful home near dover high school,4,2750
356,nashuanh,1450,2 deluxe bedrooms apt near exit 8/10/11,2,1300
357,candia,1695,candia two bedroom duplex,2,1100
358,nwmanchester,995,furnished condo 1 bed 1 bath,1,630
359,oldeportwaterfrontdeckarea,1945,downtown /decks portsmouth nh townhouse with parking,2,
360,nan,1806,"2 bedroom - package acceptance at leasing office, gas-burning fireplaces",2,949
361,newhampshire,425,home for rent ready to move in by december,,
362,brookfarmvillage,1200,two bedroom condominium,2,1000
363,newhampshire,390,"brilliant fire place, hardwood floors and tile throughout",,
364,nan,2194,"2 bedroom - granite countertops, oversized garden tubs, carports available",2,1097
365,manchester,1000,"separate living room, 587 lincoln st, 2 beds 1 bath",2,1250
366,nan,2226,"2 bedroom - carports available, oversized garden tubs, granite countertops",2,1097
367,manchester,1100,"live life in style 102 conant st # 1, 3 beds 2 bath",3,1527
368,stepsfromoceanminutesfromdowntownportsmouthandeveryt,1369,has everything you want in an apartment at an unbelievable price,2,710
369,"134middlest.apt.1,manchester",875,one bedroom apartment at $875 mo.,1,700
370,lee,1275,2 bedroom above garage apartment,2,
371,manchesternh,1200,2 bedroom duplex unit in a cul-de-sac north end,2,890
372,nan,1793,"2 bedroom - valet dry-cleaning service, plank flooring, carports available",2,949
373,rochester,320,3 bd rm $320 (weekly)heat/hw included,3,
374,berlin,850,1st floor 2/1 handicap accessible,2,1100
375,392centralave,1770,"available now 2 beds,1.5 baths, above downtown, all brick, 2 stories",2,
376,nashua,1750,three bedroom apartment,3,1000
377,badgersislandkittery,2000,2 bedroom w/parking island waterfront with incredible views,2,900
378,36warren,2400,melrose three bedroom two baths,3,1000
379,concord/penacook,1035,falling leaves and falling prices + free heat for a yeardont miss out,2,820
380,nan,2420,"washers  dryers in every apartment, java bar, spacious closets",2,978
381,portsmouth,3400,portsmouth townhouse,3,2100
382,nan,2194,"2 bedroom - plank flooring, 24-hour fitness center, oversized garden t",2,1097
383,nashua,99,nashua $99 it's downtown $99 it's utilities included $99,1,
384,nan,1300,"3 acton street, nashua nh 2nd floor- $1,400",3,
385,goffstownn.h.,1275,"1800 sq, ft 2 bed.newly renovted",2,1800
386,nan,1100,"10 vernon street nashua, nh 03062 unit 2- 2 bedroom $1,100",2,
387,concord,1100,large 2+ br with heat included,2,
388,manchester,1580,"heat  hot water included, just in time for the cold 2 bed, 1.5 bath",2,1150
389,nashua,1250,nashua 3 bedroom apartment,3,1100
390,"74exeterroad,northhampton",2700,for rent quiet stately 4-5 bdrm colonial short or long term,5,3500
391,"82laurelst,manchester",1195,newly renovated 3 bedroom apartment second floor,3,
392,goffstownn.h.,1275,"1800 sq, ft 2 bedroom, newly renovated, heated",2,1800
393,dovernh,1500,dont rent from kab,,
394,hampton,1875,year round pet friendly 2 bedroom,2,1650
395,manchester,995,convenient location heat  hot water,1,1200
396,manchester,995,heat  hot water,1,1200
397,westmanchester,995,3rd. floor with heat  hot water,1,1200
398,manchester,995,heat  hot water,1,1200
399,manchester,995, heat and hot water ,1,1200
400,manchester,995,heat  hot water,1,1200
401,littletonnh,850,good 3 bedroom manufactured house,3,940
402,milford,2250,"built 2017, pristine 55+ community,granite, ss,hardwood, c/a, garage",2,1200
403,littletonnh,995,nice possible 4 bedroom house can make it 2 full baths,4,1610
