City,Price,Title,bedroom,ft,price_per_ft,price_per_br
dover,1200,available now walk to downtown dover,2,1400,0.857142857,600
dover,1225,2 bedroom 2 bath 2nd floor,2,881,1.39046538,612.5
dover,1250,dover   charming 2 bedroom duplex commuter friendly,2,946,1.321353066,625
dover,1300,2 bedroom   downtown dover   14d portland ave,2,1000,1.3,650
dover,1300,2 br apartment in downtown dover,2,900,1.444444444,650
dover,1300,3 bedroom   6th street 48b,3,1100,1.181818182,433.3333333
dover,1300,3 bedroom dover apartment downtown,3,800,1.625,433.3333333
dover,1300,downtown dover cozy 3 bedroom,3,800,1.625,433.3333333
dover,1325,dover   sunny 2 bedroom 15 bath apartment close to downtown,2,1000,1.325,662.5
dover,1350,off street parking  fenced in back yard dogs welcome,2,1200,1.125,675
dover,1395,two bedroom apartment 5 minute walk to downtown dover,2,650,2.146153846,697.5
dover,1400,2 bedroom townhouse,2,1300,1.076923077,700
dover,1450,2 bedroom 2 bath condo wd 1st floor,2,1059,1.369216242,725
dover,1475,brand new renovated mi brick  beam includes heathwacwifi 3210,1,696,2.119252874,1475
dover,1475,clean new england style home,3,1000,1.475,491.6666667
dover,1489,a renovated two bedroom apartment  close to downtown dover,2,750,1.985333333,744.5
dover,1489,november rent free $500 sec dep ca today,2,750,1.985333333,744.5
dover,1500,easy walk to downtown from this 2  br unit,2,975,1.538461538,750
dover,1500,end unit townhouse style 2 bedroom dover condo,2,1150,1.304347826,750
dover,1500,3 br apt heat included new paint throughout,3,1200,1.25,500
dover,1575,brand new renovated mi brick  beam includes heathwacwifi 4206,1,766,2.05613577,1575
dover,1625, heat hot water electric and wifi included,1,835,1.946107784,1625
dover,1625,wooden beam and exposed brick heat  hot water  wi fi included,1,823,1.974483597,1625
dover,1625,2 bedroom  updated  heat included  walk to downtown dover,2,1000,1.625,812.5
dover,1700,dover downtown 3 bedroom (but like two apts in one) 1700month,3,1200,1.416666667,566.6666667
dover,1700,end unit townhome with master suite,3,1584,1.073232323,566.6666667
dover,1800,downtown dover heathw 3 bed 2 bath wd in unit  $1800,3,1500,1.2,600
dover,1850,spacious 3 br in dover  move in ready,3,1500,1.233333333,616.6666667
dover,1875,spacious single family home close to downtown dover,2,1450,1.293103448,937.5
dover,1900,for rent 3 4 bedroom 1 bath,3,1300,1.461538462,633.3333333
dover,1970,dover downtown two bedroom two bathroom,2,942,2.091295117,985
dover,2000,townhouse for rent  available immediately,4,1800,1.111111111,500
dover,2100,dover nh pointe place apartment unit 212,2,1074,1.955307263,1050
dover,2150,50 pointe place apartment unit 202,2,1054,2.039848197,1075
dover,2150,60 pointe place apartment unit 110,2,1186,1.812816189,1075
dover,2500,beautiful home near dover high school,4,2750,0.909090909,625
dover,2650,7 bedroom house in town dover,7,3000,0.883333333,378.5714286
dover,2800,dover   lovely 2  bedroom single family ranch with large yard,3,1370,2.04379562,933.3333333
dublin,1300,dublin nh    newly remodled 2 bedroom apt,2,1324,0.981873112,650
dublin,1495,beautiful ranch two bedroom with office,2,1200,1.245833333,747.5
dunbarton,1350,2 bedroom house for rent,2,1050,1.285714286,675
dunbarton,1695,dunbarton house duplex space for parent(s) relative(s) child,3,2028,0.835798817,565
durham,3000,walk to campus downtown amtrak 4 beds 2 baths 2 car attached garage more o,4,1365,2.197802198,750
durham,969,four bedroom apartment available,4,1554,0.623552124,242.25
durham,1175,2 bedroom apartment,2,800,1.46875,587.5
durham,1300,solar powered barn loft apartment unfurnishedfurnished,1,600,2.166666667,1300
durham,2500,luxury waterfront condo,2,1100,2.272727273,1250
durham,2600,luxury waterfront condo close to unh and portsmouth,2,1080,2.407407407,1300
effingham,1200,3 bedroom 5 acres private peaceful month to month,3,1750,0.685714286,400
effingham,1300,3 bedroom house for rent,3,1000,1.3,433.3333333
enfield,1100,2 bedrm on mascoma lake   pets welcome,2,750,1.466666667,550
epping,1100,epping huge 1 bedroom,1,985,1.116751269,1100
epping,1295,first floor  2 bedroom near town center,2,1000,1.295,647.5
epping,1400,one bedroom apartment in epping first floor,1,523,2.676864245,1400
exeter,1000,sma 1br inc hhwelec,1,500,2,1000
exeter,1150,spacious and luxurious with a fireplace don't loose this oneca,1,700,1.642857143,1150
exeter,1200,executive studio$300 weekly,1,400,3,1200
exeter,1200,downtown exeter,1,800,1.5,1200
exeter,1295,2 bedroom apt in exeter available 12117  heat  hot water inluded,2,911,1.421514819,647.5
exeter,1400,1 br wdeck 3 season porch basement wd dishwasher,1,700,2,1400
exeter,1450,coach house rental,1,1000,1.45,1450
exeter,1500,1 bedroom spacious apartment for december available,1,775,1.935483871,1500
exeter,1500,large and quiet 2 bedroom,2,1100,1.363636364,750
exeter,1675,exeter mi studio with loft available 121,1,1050,1.595238095,1675
exeter,1700,2 bedroom   exeter nh,2,1000,1.7,850
exeter,1800,exeter mi 1bedroom1bath  water views 119,1,935,1.92513369,1800
exeter,1850,2 bedroom apartment updated in exeter nh,2,936,1.976495726,925
exeter,1980,31 chestnut st 2 bedroom 1bath available now,2,1036,1.911196911,990
exeter,1995,27 chestnut street 2 bedroom 2 bath,2,988,2.019230769,997.5
exeter,2000,31 chestnut 2 bedroom 2bath,2,975,2.051282051,1000
exeter,2500,exeter 3 bedroom 2 fu bathrooms ranch style,3,1400,1.785714286,833.3333333
exeter,2700,for rent quiet stately 4 5 bdrm colonial short or long term,5,3500,0.771428571,540
exeter,2710,one jady hi at exeter mi 2bd2ba with office,2,1478,1.833558863,1355
exeter,2750,lovely 4 bedroom 2 12 bath exeter nh (sau16),4,2300,1.195652174,687.5
farmington,896,3 bedroom   mad river meadows,3,985,0.90964467,298.6666667
farmington,995,great commuter location   updated   spacious,2,994,1.001006036,497.5
farmington,1100,sma farm apt rental,2,1000,1.1,550
farmington,1500,new englander home,3,2200,0.681818182,500
farmington,1800,waterfront baxter lake,3,1900,0.947368421,600
franklin,850,deal nice townhouse style 2 bdrm w views of winni river,2,820,1.036585366,425
franklin,1000,franklin duplex for rent,2,900,1.111111111,500
franklin,1200,house for rent in franklin,3,1000,1.2,400
franklin,1250,newly renovated condo for rent,2,964,1.296680498,625
fremont,1600,2 bedroom townhouse with 1 car garage and deck,2,1200,1.333333333,800
fremont,2200,3   bedroom spacious cape,3,2100,1.047619048,733.3333333
gilford,900,gilford 1 bedroom includes utilities,1,500,1.8,900
gilford,1100,2bd1bath end unit condo,2,950,1.157894737,550
gilford,1500,house for rent,2,1500,1,750
gilford,1700,3 br home heated unfurnished,4,1900,0.894736842,425
gilmanton,1800,sunapee chalet rental,3,1100,1.636363636,600
goffstown,1065,  large one bedroom nice view  3rd floor november mi,1,740,1.439189189,1065
goffstown,1065, amazing one bedroom apartment  move in november,1,740,1.439189189,1065
goffstown,1065, large one bedroom,1,740,1.439189189,1065
goffstown,1065,ç reserve one bedroom home with highwood viage,1,740,1.439189189,1065
goffstown,1065,Ωyour new home is at highwood viage free heat,1,740,1.439189189,1065
goffstown,1065,it's your lucky day with highwood viage free heat,1,740,1.439189189,1065
goffstown,1100,two 3 bdrm units just renovated nice street downtown,3,900,1.222222222,366.6666667
goffstown,1150,  free gas heat 1st floor two bedroom available for november,2,770,1.493506494,575
goffstown,1150,  love it at highwood viage,2,770,1.493506494,575
goffstown,1150, beautiful two bedroom  available november,2,770,1.493506494,575
goffstown,1150, beautiful two bedroom  available novemer,2,770,1.493506494,575
goffstown,1150, quiet community ,2,770,1.493506494,575
goffstown,1150, worry free living pool view,2,770,1.493506494,575
goffstown,1150,ØØyour new home at highwood viageØØ,2,770,1.493506494,575
goffstown,1150,ììììcheck us out free gas,2,770,1.493506494,575
goffstown,1150,ç reserve two bedroom home with highwood viage,2,770,1.493506494,575
goffstown,1150,ùwarm and cozy two bedroom apartment  move in novemberù,2,770,1.493506494,575
goffstown,1150,Ωyour new home is at highwood viage free heat,2,770,1.493506494,575
goffstown,1200,one bedroom rented,1,800,1.5,1200
goffstown,1275,1800 sq ft 2 bednewly renovted,2,1800,0.708333333,637.5
goffstown,1275,1800 sq ft 2 bedroom newly renovated heated,2,1800,0.708333333,637.5
goffstown,1650,duplex semi detached   goffstown nh,2,2032,0.812007874,825
greenville,675,one bedroom apartment,1,480,1.40625,675
greenville,685,2 bedroom apartment,2,550,1.245454545,342.5
hampstead,1275,apartment 2 bath upper vaey between hanover and woodstock,2,1100,1.159090909,637.5
hampstead,1850,peace and quiet on sunset lake,2,1200,1.541666667,925
hampstead,2000,house for rent 6 mo term,3,1845,1.08401084,666.6666667
hampstead,2700,homecottage rent november may,3,1100,2.454545455,900
hampton,295,avail now 1 br gas  cable net incl300 pets ok,1,490,0.602040816,295
hampton,350,winter rental   hampton beach nh,1,650,0.538461538,350
hampton,1100,furnished hampton beach 2 bedroom winter rentals   19 f street,2,750,1.466666667,550
hampton,1250,hampton beach winter rental,2,1000,1.25,625
hampton,1300,200 yds from the wa at north beach,2,900,1.444444444,650
hampton,1350,2 bedroom  duplex cottage  year lease  hampton beach,2,550,2.454545455,675
hampton,1495,2 bed 1 bath,2,1000,1.495,747.5
hampton,1500,extra large 1 bed possibly 2,1,1800,0.833333333,1500
hampton,1500,2 bedroom 1 bathroom,2,810,1.851851852,750
hampton,1700,ideal 2 bdrm   137 high street,2,1200,1.416666667,850
hampton,1700,year round beach apartment for rent,2,1440,1.180555556,850
hampton,1800,ocean view hampton beach condo for rent,2,1000,1.8,900
hampton,1875,year round pet friendly 2 bedroom,2,1650,1.136363636,937.5
hampton,2000,3 bedroom residential apartment,3,1900,1.052631579,666.6666667
hampton,2200,stunning 2 bedroom with loft multi level contemporary home,2,2000,1.1,1100
hampton,2200,4br 1bath apartment on second and third floor of house,4,1800,1.222222222,550
hampton,2250,upscale quiet condo for rent,2,15000,0.15,1125
hampton,2400,fuy furnished with brand new furniture 1bed 1bath condo for rent,1,1181,2.032176122,2400
hampton,2400,beautiful 3 bedroom 25 bath townhouse available now walk to the beach,3,2500,0.96,800
hampton,2500,oceanfront  great boars head  yearly rental  heat  hw included,3,1000,2.5,833.3333333
hampton,2700,4 5 bedroom  colonial newly renovated short or long term,4,3500,0.771428571,675
hampton,2850,beautiful ranch home for rent   hampton nh,3,2096,1.359732824,950
hampton,3600,north hampton,3,2700,1.333333333,1200
hancock,2500,farm house for rent,5,2800,0.892857143,500
hanover,1069,studio apt finay available at historic opera block,1,560,1.908928571,1069
hanover,1200,large 1 bedroom fuy furnished,1,800,1.5,1200
hanover,1289, be smart rent from red oak microwave in kitchen,1,840,1.53452381,1289
hanover,1289, choose an opera block apartment luxury without the high price tag,1,840,1.53452381,1289
hanover,1289, why look any further we have a 1br for you skylight,1,840,1.53452381,1289
hanover,1289,everyone is a vip at red oak no sec deposit required,1,840,1.53452381,1289
hanover,1289,huge luxury 1 br available for rent downtown one of a kind,1,840,1.53452381,1289
hanover,1289,look    opera block  brick feature wa stainless steel kitchen,1,840,1.53452381,1289
hanover,1289,luxurious 1 bedroom apartment   no security deposit required,1,840,1.53452381,1289
hanover,1289,the winning apartment is here microwave,1,840,1.53452381,1289
hanover,1289,ultimate 1 bedroom apt  skylight cathedral ceiling stainless steel,1,840,1.53452381,1289
hanover,1469,  opera block  upscale apt living with parking included  downtown,2,1080,1.360185185,734.5
haverhill,1550,beautiful 2br apartment available on corner lot w off street parking,2,915,1.693989071,775
henniker,1200,2nd flr w granite ss hardwood inc heat,2,900,1.333333333,600
hillsboro,600,loft style apartment in historic riverfront mi,1,650,0.923076923,600
hillsboro,750,unique one bedroom loft style apartment in historic riverfront mi,1,650,1.153846154,750
hillsboro,1100,lrg 3 bedroom   44 bridge st hisboro,3,1000,1.1,366.6666667
hillsboro,1200,spacious and comfortable home for rent,4,2500,0.48,300
hillsborough,749,hisborough large 1 to 2br being renovated $749,1,750,0.998666667,749
holderness,1295,holderness two bedroom 15 bathroom condo for rent,2,1300,0.996153846,647.5
hollis,1200,in law apartment,3,1100,1.090909091,400
hollis,2350,a tri levels hois townhome in a quiet country setting,2,1500,1.566666667,1175
hollis,3500,single family 4 acre equestrian farm,4,2512,1.393312102,875
hooksett,950,1br 1 bath available on 121 include heat and hot water,1,630,1.507936508,950
hooksett,1370,1 bedroom 1 bathroom apartment for rent in hooksett,1,649,2.110939908,1370
hooksett,1380,1 bedroom 1 bathroom apartment for rent in hooksett,1,649,2.126348228,1380
hooksett,1400,1 bedroom 1 bathroom apartment for rent in hooksett,1,649,2.157164869,1400
hooksett,1400,1 bedroom 2 baths,1,1500,0.933333333,1400
hooksett,1589, have no fear red oak is here microwave  dishwasher,2,1135,1.4,794.5
hooksett,1589,huge 2 bedroom condo ™ gourmet kitchen 3 balconies and 2 fu baths,2,1152,1.379340278,794.5
hooksett,1589,lg condo for rent  in dec  central air gourmet kitchen 3 balconies ,2,1135,1.4,794.5
hooksett,1589,lovely condo for rent  central air gourmet kitchen 2br2ba ,2,1152,1.379340278,794.5
hooksett,1589,sparkling updated 2 br condo for rent  hooksett hoows,2,1135,1.4,794.5
hudson,1295,2 bedroom apt includes a utilites rr 432,2,800,1.61875,647.5
hudson,1385,fox hoow   available mid november 2 bedroom 1 12 baths,2,1025,1.351219512,692.5
hudson,1500,fox hoow   large 2 bed w eat in kitchen avail mid november,2,1200,1.25,750
hudson,1500,fox hoow   large unit w eat in kitchenbig closets new year,2,1200,1.25,750
hudson,1500,rent to own   hudson condex 2 bedroom attached  detached garages,2,1100,1.363636364,750
hudson,1600,1 mile to schools next to hannafords,2,1350,1.185185185,800
hudson,1600,hudson 3 br 1st floor apartment,3,1000,1.6,533.3333333
hudson,1975,3 bedroom single level ranch style birchcroft area,3,1800,1.097222222,658.3333333
intervale,858,three bed room 3 12bath property intervale,3,1997,0.429644467,286
intervale,1325,3 bedroom apartment,3,1560,0.849358974,441.6666667
jaffrey,1325,3 bedroom apt   first floor,3,1160,1.142241379,441.6666667
jaffrey,1375,cozy 3 bedroom ranch in monadnock region   available jan 1st,3,1600,0.859375,458.3333333
rye,1600,winter rental rye beach,3,1200,1.333333333,533.3333333
keene,650,you wont find a move in special like this anywhere else íØíØ,2,1229,0.528885273,325
keene,650,student housing keene,3,1400,0.464285714,216.6666667
keene,800,keene main st efficiency apt with parking,1,380,2.105263158,800
keene,850,keene main st 1 bedroom apt wparking,1,401,2.119700748,850
keene,925,nice clean 1 bedroom   non smoking only,1,400,2.3125,925
keene,975,keene main st 2 bdrm apt with parking,2,750,1.3,487.5
keene,1009,keene non smoking building patiobalcony convenient location,1,771,1.308690013,1009
keene,1200,2 bedroom townhouse condo for rent   chestnut green,2,1050,1.142857143,600
keene,1650,beautiful three bedroom apartment with wd in unit,3,1400,1.178571429,550
laconia,700,studio cottage available for year round rental,1,600,1.166666667,700
laconia,700,roommate   $700 utilities included,3,1060,0.660377358,233.3333333
laconia,764,plan ahead get on our waitlist,1,690,1.107246377,764
laconia,925,absolutely gorgeous 3br 2 bath manufactured home in beautifuy mainta,3,1344,0.688244048,308.3333333
laconia,950,2 bedroom apartment,2,1000,0.95,475
laconia,994,ca today to income qualify,2,973,1.021582734,497
laconia,994,ca today to income qualify for our waitlist,2,973,1.021582734,497
laconia,994,income qualify today,2,973,1.021582734,497
laconia,994,income qualify today for our waitlist,2,973,1.021582734,497
laconia,994,income qualify today for our watilist,2,973,1.021582734,497
laconia,1195,available december 1st,3,1000,1.195,398.3333333
laconia,1200,3bedroom 1bath condo,3,1123,1.06856634,400
laconia,1249,ca today to income qualify for our waitlist,3,1203,1.038237739,416.3333333
laconia,1249,income qualify today for our waitlist,3,1203,1.038237739,416.3333333
laconia,1250,two bedroom two bathroom with garage,2,1400,0.892857143,625
laconia,1250,wooded viewprivate patiostainless applianceslaconiawasherdryer,2,984,1.270325203,625
