City,Price,Title,bedroom,ft
manchesternh,1541,price drop,,985
nan,1665,2 bedroom deluxe dog friendly $1665,,950
nan,1665,2 bedroom deluxe dog friendly $1665,,950
somersworth,1410,winter is coming don't stress about heating bis  hhw included,,917
nashua,1870,warm up by our fireplace's at lofts 34,,908
merrimack,1425,smokepet free 1st flr renovated 2 bed w free wifi storage parking,,880
swanzey,1000,lovely studio apartment,,875
1201/2kinsleyst.nashua,1250,2 bedroom1 bath,,850
nashua,1500,change is in the air  dog friendly 2br available this week,,750
nashua,1500,dog friendly 2 bedroom available november 9th,,750
nashua,1475, check it out  cat friendly smoke free 2 br available,,750
somersworth,1340,welcome home we've got your heat covered this winter,,733
lebanon,1350,premium top floor studio in a classic new england school building,,700
eastwashington,550,in law apartment,,675
portwalkplace,2115,gorgeous studio in downtown portsmouth,,656
"411middlest,portsmouthnh",1600,over sized studio apt in extraordinary settingcommunity,,650
nan,1545,studio apartment home in salem nh,,650
milford,1169,spacious 1 bedroom in a beautiful community,,600
whiteriverjunction,1100,furnished 1 bedroom apartment w utilities included,,600
nan,1595,spacious studio apartment homes,,566
30hanoverst.,1069,studio apt finay available at historic opera block,,560
manchester,1069,free    downtown parking    2 room studio    at the opera block,,560
manchester,1069,amazing 2 room studio now available  opera block location,,560
nashua,1399,looking for your next home sweet home   smoke free 1br available now,,560
"30hanoverstreet,manchester",1069,never settle for less microwave in kitchen,,560
downtownmanchester,1069,luxury 2 room  studio  available  downtown manchester ,,560
19tahantostreet,825,apartment available at 19 tahanto street,,550
hamptonbeach,295,avail now 1 br gas  cable net incl300 pets ok,,490
lebanon,1000,studio for rent in historic building walking distance to downtown,,450
"593beechstreet,manchesternh",750,renovated studio first floor off street parking,,425
seabrook,945,only a few units left at rockingham viage apartments,,410
somersworth,925,perfect size studio  hhw included  don't miss out on this,,392
somersworth,925,last remaining studio  hhw included,,392
"rye,portsmouth",875,studio efficiency winter rental,,375
milford,4000,garage for rent,,3600
hamptonbeach,950,month to month winter rental,,320
"64merrimackst,manchester",899,utils included in this 2 room studio apt low price big value,,319
manchester,849,ready now free utilities  studio  no security deposit to pay,,300
manchester,879,move in ready free utilities  studio  no security deposit to pay,,300
manchester,849,price reduced   save here     studio with free utilities,,300
manchester,879,low price    save here     studio with free utilities,,300
goffstown,3000,house for rent,,2800
"57ahopkinsroad,newboston",2200,beautiful 3 bedroom home for rent,,2744
"64merrimackstreet,manchester",849, nice apartment in professionay managed building,,273
"64merrimackstreet,manchester",849,have no fear red oak is here free utilities,,273
"64merrimackstreet,manchester",849, downtown location  free heat  elevator,,273
"64merrimackstreet,manchester",849,beautiful top floor apartment available now a utilities included,,273
"64merrimackstreet,manchester",879, the grass is always greener at red oak apartments,,273
"64merrimackstreet,manchester",879,heat included with this studio apartment home,,273
manchester,879,è cute  affordable studio apartment   a utilities included,,273
64merrimackst.,879,affordable studio for rent® cute and cozy with free hthwelectric,,262
concord,615,affordable downtown studio,,200
concord,800,$800 studio apartment w utilities included,,200
nashua,1,river pines by jensens   rentals not aowed   don't be scammed,,1
nan,1,empty apartments aow a dog,,1
plymouth,1450,recently renovated house walking distance to downtown big backyard,,1900
hudson,1975,3 bedroom single level ranch style birchcroft area,,1800
effingham,1200,3 bedroom 5 acres private peaceful month to month,,1750
oceanblvd,1800,rye beach winter rental 2 bd 1 ba wparking,,1700
##newhampshire##,490, adorable look  a fenced back yard and newly painted,,1490
revere,2000,spacious 2 bedroom revere 200000 month,,1300
##newhampshire##,456, adorable look  a fenced back yard and newly painted,,1300
##newhampshire##,456, adorable look  a fenced back yard and newly painted,,1300
nashua,1950,beautiful  updated 3 bed 2 fu bath 1 floor condo at exit 1 route 3,,1300
##newhampshire##,478, adorable look  a fenced back yard and newly painted,,1290
newmarket,2200,short term waterfront home,,1276
manchester,995, heat  hot water included ,,1200
1850frontstmanchesternh,1850,open house saturday 111718 1 3 pm at regency west in manchester,,1140
nashua,1795,enjoy indoor garage parking at lofts 34,,1098
nashua,1650,your new view awaits at lofts 34 in nashua  11,,1088
"108wmainstreet,merrimac,ma",1849,luxury 55  active adult community  coming soon to merrimac ma,,1071
exeter,1675,exeter mi studio with loft available 121,,1050
nan,1495,brigh natural light 2 bed apt,,1000
nan,1250,north end 2 bedroom apt,,1000
dover,2650,7 bedroom house in town dover,7,3000
canterbury,2400,canterbury  6 beds 4 bath,6,
17madburyroad,1100,6 br 6 person apartment madbury commons  last unit,6,
durham,1100,last 6 person at madbury commons 2019 2020,6,
"15sentinelct.,manchesternh",2199, newer 5 br house available in redstone community $750 off,5,1774
"15sentinelct,manchesternh",2199,single family house for rent large dog friendly,5,1774
"15sentinelct,manchesternh",2199,spread out this house has it a garage basement  more,5,1774
"74exeterroad,northhampton",2700,for rent quiet stately 4 5 bdrm colonial short or long term,5,3500
"20sentinelcourt,manchester",2199,   single family house  reserve now for dec move in,5,1774
"5brhouseforrent,manchester",2199,tour now   single family house for rent  5 br35 ba,5,1774
clintonmaine,1000,medical caregivers,5,
manchester,2199,look     new lower price     single family house   5br,5,1774
"20sentinelct,manchesternh",2199,home sweet home house for rent   1st fu month special,5,1774
"20sentinelcourt,manchester",2099,price reduced   take $750 off  lg single family house  5 br35 ba,5,1774
57sentinelct.,2099,newer 5 br house 2 car garage great yard take $750 off,5,1774
tuftonboro/lakewinni,800,4887 sq ft home on lake winnipesaukee 5 bed 4 12 bath sleeps 14,5,5000
acworthnewhampshire,1400,4 to 5 bedroom,5,
sandownorshapleigh,1213,dunbarton great schools 3 bedroom 15 bath meticulous stainless applia,5,1849
durham,955,5 br 6 person apt  madbury commons  downtown unh,5,
durham,955,5 br 6 person apt  madbury commons  downtown unh,5,
munsonvillecornis,1250,3 bedroom 15 bath lovely location impeccable,5,2215
hancock,2500,farm house for rent,5,2800
tuftonboro/lakewinni,800,4887 sq ft home on lake winnipesaukee boat house sleeps 14 beach,5,4887
60amadburyroad,875,5 br renovated apt at davis court,5,
amherst/montvernon,2500,first month free executive home   desirable souhegan school district,5,3800
bellowsfallstemp,1200,3 bedroom 2bth great schools delightful,5,1829
brookline,2375,terrific location large home for rent possible caretaker option,5,3025
durham,969,sign a lease today,4,
nan,1250,plenty of space in a beautiful home   utilities included,4,4000
durham,969,sign your lease today,4,
pembroke,1400,4br apartment,4,1800
manchester,1700,4 bedroom unit wifi included,4,1860
durham,969,four bedroom apartment available,4,1554
39clancydrive,2000,townhouse for rent  available immediately,4,1800
39clancydrive,2000,townhouse for rent  available immediately,4,1800
southdover,2500,beautiful home near dover high school,4,2750
littletonnh,995,nice possible 4 bedroom house can make it 2 fu baths,4,1610
"mason10mintomaborder,closetohollis,brooklineamhers",2595,nice colonial officedining rmfin cagarage pets aowed,4,
sanford,1300,4 bedrooms for rent,4,
17madburyroad,985,madbury commons 4 br 4 person apartment  2019 2020,4,
17madburyroad,985,madbury commons 4 br 4 person apartment  2019 2020,4,
keene,649,lease now for 2019 2020 beautiful a inclusive  fuy furnished,4,
keene,649,lease now for 2019 2020 beautiful a inclusive  fuy furnished,4,
keene,649,lease now for 2019 2020 beautiful a inclusive  fuy furnished,4,
3templest,1700,spacious 4 bedroom apartment available for rent,4,
newmarket,2600,unh students   4 br beautiful brick house {june 2019   may 2020},4,
londonderryexit5,2100,4 bedroom duplex,4,1600
manchesternh,1300,4 bedroom   318 concord street manchester,4,1200
nan,2450,4 bedroom on quiet cul de sac,4,2665
neardowntownhampton,2200,4br 1bath apartment on second and third floor of house,4,1800
"lowell,ma",1600,upper highlands 4 bedroom   heat and hot water inc,4,
manchester,1495,don't miss it   west side clean  extra large 4 bedrooms 2nd floor,4,1600
521wilsonstmanchesternh,1500,4 bed apt manchester nh $1500,4,
newhampshire,1420,house with ceiling fans instaed 3 bedbath,4,2350
