allenstown,1350.0
alton,1233.3333333333333
amherst,2325.0
ashland,775.0
bartlett,1300.0
bedford,1130.0
belmont,1533.3333333333333
berlin,647.2
boscawen,999.0
bow,1244.5
bradford,1649.6666666666667
bristol,1512.5
brookline,2485.0
campton,1200.0
canaan,1150.0
candia,1722.5
charlestown,599.0
chelsea,2600.0
chesterfield,900.0
claremont,980.7142857142857
colebrook,575.0
concord,1092.4222222222222
conway,1263.75
cornish,975.0
deerfield,1200.0
derry,1411.3636363636363
dover,1543.3617021276596
dublin,1397.5
dunbarton,1522.5
durham,1924.0
effingham,1250.0
enfield,1100.0
epping,1265.0
exeter,1767.75
farmington,1258.2
franklin,1075.0
fremont,1900.0
gilford,1300.0
gilmanton,1800.0
goffstown,1160.909090909091
greenville,680.0
hampstead,1956.25
hampton,1839.7826086956522
hancock,2500.0
hanover,1278.25
haverhill,1550.0
henniker,1200.0
hillsboro,912.5
hillsborough,749.0
holderness,1295.0
hollis,2350.0
hooksett,1444.5
hudson,1544.375
intervale,1091.5
jaffrey,1350.0
keene,967.6666666666666
laconia,1251.3246753246754
lancaster,985.0
laurelst,1050.0
lebanon,1920.050505050505
lee,1197.5
lincoln,1400.0
lisbon,987.5
litchfield,1580.0
littleton,857.0
londonderry,1700.0
loudon,1490.0
lyme,1100.0
madison,3400.0
manchester,1510.7395437262358
maplest,1250.0
marlborough,1275.0
mason,2595.0
meredith,1170.0
merrimack,1310.2222222222222
methuen,1420.0
milford,1507.8850574712644
moultonborough,1050.0
nashua,1818.1908713692947
new boston,2200.0
newfields,2000.0
newipswich,1750.0
newlondon,1325.0
newmarket,1438.5714285714287
newport,1550.0
newton,695.0
northwood,1733.3333333333333
nottingham,2000.0
oceanblvd,1800.0
ossipee,937.5
pelham,1200.0
pembroke,1334.0
penacook,1255.0
peterborough,1559.0
plaistow,1400.0
plymouth,2558.3333333333335
portsmouth,2067.7966101694915
raymond,1500.0
revere,2000.0
rindge,1500.0
rochester,1271.4285714285713
rollinsford,1045.0
royalridge,1508.0
rye,1820.0
salem,1764.4444444444443
sanbornton,1650.0
sandown,1213.0
scarborough,1400.0
seabrook,1446.25
seacoast,850.0
somersworth,1050.0
southberwick,1600.0
stoddard,1350.0
strafford,1600.0
stratham,1675.0
sunapee,1650.0
surry,1700.0
sutton,1000.0
swanzey,1260.875
temple,1795.0
thetford,1200.0
thornton,1897.5
tilton,1377.4285714285713
tuftonboro,800.0
wakefield,1800.0
walpole,1012.5
washington,1600.0
whitefield,925.0
wilder,895.0
wilton,1400.0
windham,2775.0
wolfeboro,1092.2
