City,Price,Title,bedroom,ft
manchester,1541.0,price drop,,985.0
,1665.0,2 bedroom deluxe dog friendly $1665,,950.0
,1665.0,2 bedroom deluxe dog friendly $1665,,950.0
somersworth,1410.0,winter is coming don't stress about heating bis  hhw included,,917.0
nashua,1870.0,warm up by our fireplace's at lofts 34,,908.0
merrimack,1425.0,smokepet free 1st flr renovated 2 bed w free wifi storage parking,,880.0
swanzey,1000.0,lovely studio apartment,,875.0
nashua,1250.0,2 bedroom1 bath,,850.0
nashua,1500.0,change is in the air  dog friendly 2br available this week,,750.0
nashua,1500.0,dog friendly 2 bedroom available november 9th,,750.0
nashua,1475.0, check it out  cat friendly smoke free 2 br available,,750.0
somersworth,1340.0,welcome home we've got your heat covered this winter,,733.0
lebanon,1350.0,premium top floor studio in a classic new england school building,,700.0
washington,550.0,in law apartment,,675.0
portwalkplace,2115.0,gorgeous studio in downtown portsmouth,,656.0
portsmouth,1600.0,over sized studio apt in extraordinary settingcommunity,,650.0
,1545.0,studio apartment home in salem nh,,650.0
milford,1169.0,spacious 1 bedroom in a beautiful community,,600.0
whiteriverjunction,1100.0,furnished 1 bedroom apartment w utilities included,,600.0
,1595.0,spacious studio apartment homes,,566.0
hanover,1069.0,studio apt finay available at historic opera block,,560.0
manchester,1069.0,free    downtown parking    2 room studio    at the opera block,,560.0
manchester,1069.0,amazing 2 room studio now available  opera block location,,560.0
nashua,1399.0,looking for your next home sweet home   smoke free 1br available now,,560.0
hanover,1069.0,never settle for less microwave in kitchen,,560.0
manchester,1069.0,luxury 2 room  studio  available  downtown manchester ,,560.0
19tahantostreet,825.0,apartment available at 19 tahanto street,,550.0
hampton,295.0,avail now 1 br gas  cable net incl300 pets ok,,490.0
lebanon,1000.0,studio for rent in historic building walking distance to downtown,,450.0
manchester,750.0,renovated studio first floor off street parking,,425.0
seabrook,945.0,only a few units left at rockingham viage apartments,,410.0
somersworth,925.0,perfect size studio  hhw included  don't miss out on this,,392.0
somersworth,925.0,last remaining studio  hhw included,,392.0
portsmouth,875.0,studio efficiency winter rental,,375.0
milford,4000.0,garage for rent,,3600.0
hampton,950.0,month to month winter rental,,320.0
manchester,899.0,utils included in this 2 room studio apt low price big value,,319.0
manchester,849.0,ready now free utilities  studio  no security deposit to pay,,300.0
manchester,879.0,move in ready free utilities  studio  no security deposit to pay,,300.0
manchester,849.0,price reduced   save here     studio with free utilities,,300.0
manchester,879.0,low price    save here     studio with free utilities,,300.0
goffstown,3000.0,house for rent,,2800.0
"57ahopkinsroad,newboston",2200.0,beautiful 3 bedroom home for rent,,2744.0
manchester,849.0, nice apartment in professionay managed building,,273.0
manchester,849.0,have no fear red oak is here free utilities,,273.0
manchester,849.0, downtown location  free heat  elevator,,273.0
manchester,849.0,beautiful top floor apartment available now a utilities included,,273.0
manchester,879.0, the grass is always greener at red oak apartments,,273.0
manchester,879.0,heat included with this studio apartment home,,273.0
manchester,879.0, cute  affordable studio apartment   a utilities included,,273.0
